provincia,periodo,anio,area,sexo,tasa_desempleo,prediccion,residuo,riesgo_real,riesgo_predicho
Bocas del Toro,2015-08,2015,rural,total,7.38460546673543,7.006778,0.37782770336873117,moderado,moderado
Bocas del Toro,2016-03,2016,rural,total,6.6784211828755256,6.621307,0.057114286665808756,moderado,moderado
Bocas del Toro,2016-08,2016,rural,total,2.8447934911576924,3.7099268,-0.865133352485496,bajo,bajo
Bocas del Toro,2017-08,2017,rural,total,5.804876664111953,5.8774047,-0.07252802567686523,bajo,bajo
Bocas del Toro,2018-08,2018,rural,total,6.3064350211452735,5.501563,0.8048719489406837,moderado,bajo
Bocas del Toro,2019-08,2019,rural,total,7.640282627223489,7.613961,0.02632140743589151,moderado,moderado
Bocas del Toro,2021-10,2021,rural,total,7.972627128073885,8.758517,-0.7858901372459393,moderado,critico
Bocas del Toro,2022-04,2022,rural,total,9.863278826828118,9.241363,0.6219162551118096,critico,critico
Bocas del Toro,2023-08,2023,rural,total,7.405032503427232,7.621454,-0.21642125862721162,moderado,moderado
Bocas del Toro,2024-10,2024,rural,total,6.8687385230468845,6.9067097,-0.03797114797362333,moderado,moderado
Bocas del Toro,2011-08,2011,total,hombres,8.314873671706957,7.5043826,0.8104910613859122,critico,moderado
Bocas del Toro,2012-08,2012,total,hombres,7.318155875451835,7.2396026,0.07855330968645458,moderado,moderado
Bocas del Toro,2013-08,2013,total,hombres,6.677145361666112,6.9750767,-0.29793131374892745,moderado,moderado
Bocas del Toro,2014-03,2014,total,hombres,6.51207392555139,6.784675,-0.27260119575598285,moderado,moderado
Bocas del Toro,2014-08,2014,total,hombres,7.729957805907173,7.566084,0.16387389782611805,moderado,moderado
Bocas del Toro,2015-03,2015,total,hombres,8.10946662943312,7.9874578,0.12200887720533693,critico,moderado
Bocas del Toro,2015-08,2015,total,hombres,8.27223985118722,7.950712,0.3215276472077271,critico,moderado
Bocas del Toro,2016-03,2016,total,hombres,7.6,7.5197988,0.08020124435424769,moderado,moderado
Bocas del Toro,2016-08,2016,total,hombres,4.185508182601206,4.650398,-0.46488959495616733,bajo,bajo
Bocas del Toro,2017-03,2017,total,hombres,6.1,6.009383,0.09061679840087855,moderado,moderado
Bocas del Toro,2017-08,2017,total,hombres,6.552316529768615,7.304654,-0.7523375916303108,moderado,moderado
Bocas del Toro,2018-08,2018,total,hombres,7.0355930071689095,6.946375,0.08921811398043289,moderado,moderado
Bocas del Toro,2019-08,2019,total,hombres,7.739670136742414,7.833769,-0.09409870786207808,moderado,moderado
Bocas del Toro,2021-10,2021,total,hombres,10.67707720890854,10.280041,0.39703646794174396,critico,critico
Bocas del Toro,2022-04,2022,total,hombres,10.442615179071671,10.06901,0.3736053981878822,critico,critico
Bocas del Toro,2023-08,2023,total,hombres,7.695173804409766,7.9390993,-0.24392550741884733,moderado,moderado
Bocas del Toro,2024-10,2024,total,hombres,5.547219244968441,5.8595586,-0.312339337337467,bajo,bajo
Bocas del Toro,2011-08,2011,total,mujeres,8.612289800408613,8.468233,0.144056691888105,critico,critico
Bocas del Toro,2012-08,2012,total,mujeres,7.207055387035164,7.115278,0.09177761985376787,moderado,moderado
Bocas del Toro,2013-08,2013,total,mujeres,7.914400447313577,7.5447693,0.36963116020420195,moderado,moderado
Bocas del Toro,2014-03,2014,total,mujeres,7.484385661050753,8.115329,-0.6309431277065709,moderado,critico
Bocas del Toro,2014-08,2014,total,mujeres,8.939302884615383,8.916428,0.02287527231069575,critico,critico
Bocas del Toro,2015-03,2015,total,mujeres,7.116161616161616,7.191053,-0.07489129750415557,moderado,moderado
Bocas del Toro,2015-08,2015,total,mujeres,7.989302212496961,7.4274125,0.5618897025787479,moderado,moderado
Bocas del Toro,2016-03,2016,total,mujeres,7.000000000000001,7.0037885,-0.00378847122192294,moderado,moderado
Bocas del Toro,2016-08,2016,total,mujeres,4.269237390256499,4.2297225,0.03951489040908651,bajo,bajo
Bocas del Toro,2017-03,2017,total,mujeres,6.0,6.1451397,-0.1451396942138672,moderado,moderado
Bocas del Toro,2017-08,2017,total,mujeres,8.079510241100445,7.8139095,0.2656007104607969,critico,moderado
Bocas del Toro,2018-08,2018,total,mujeres,8.058475292980548,7.9992137,0.05926159745442483,critico,moderado
Bocas del Toro,2019-08,2019,total,mujeres,7.963134351380534,8.044074,-0.08093970715218113,moderado,critico
Bocas del Toro,2021-10,2021,total,mujeres,8.811498910508812,8.822422,-0.010923117079078892,critico,critico
Bocas del Toro,2022-04,2022,total,mujeres,5.979549233980823,6.763351,-0.7838017296117066,bajo,moderado
Bocas del Toro,2023-08,2023,total,mujeres,5.812869132732359,5.7704716,0.04239755985638283,bajo,bajo
Bocas del Toro,2024-10,2024,total,mujeres,8.200199700449327,7.914359,0.2858406077369242,critico,moderado
Bocas del Toro,2011-08,2011,total,total,8.401139601139601,7.5880303,0.8131092628522474,critico,moderado
Bocas del Toro,2012-08,2012,total,total,7.278070531009323,7.233986,0.04408463013041697,moderado,moderado
Bocas del Toro,2013-08,2013,total,total,7.13852452801577,7.088084,0.05044030712953962,moderado,moderado
Bocas del Toro,2014-03,2014,total,total,6.858564321250888,7.112509,-0.2539444525528225,moderado,moderado
Bocas del Toro,2014-08,2014,total,total,8.164919485572247,7.894057,0.2708626885446588,critico,moderado
Bocas del Toro,2015-03,2015,total,total,7.755799316669663,7.662782,0.09301712443943799,moderado,moderado
Bocas del Toro,2015-08,2015,total,total,8.170375168501952,7.7259493,0.4444258810874011,critico,moderado
Bocas del Toro,2016-03,2016,total,total,7.399999999999999,7.377816,0.022183799743650923,moderado,moderado
Bocas del Toro,2016-08,2016,total,total,4.217725375902497,4.613701,-0.39597549079672145,bajo,bajo
Bocas del Toro,2017-03,2017,total,total,6.1,5.969123,0.1308771133422848,moderado,bajo
Bocas del Toro,2017-08,2017,total,total,7.186577939607005,7.4530115,-0.26643357314934235,moderado,moderado
Bocas del Toro,2018-08,2018,total,total,7.428854550521785,7.1699004,0.25895413319390403,moderado,moderado
Bocas del Toro,2019-08,2019,total,total,7.82697783737363,7.7904005,0.03657733230771232,moderado,moderado
Bocas del Toro,2021-10,2021,total,total,9.966511357018057,9.862291,0.10422002095848626,critico,critico
Bocas del Toro,2022-04,2022,total,total,8.753297888012428,9.040271,-0.2869729173464588,critico,critico
Bocas del Toro,2023-08,2023,total,total,6.872971004653575,6.958869,-0.08589797575413982,moderado,moderado
Bocas del Toro,2024-10,2024,total,total,6.695662744992098,6.7542777,-0.05861496115414244,moderado,moderado
Bocas del Toro,2011-08,2011,urbana,hombres,11.610664142609243,11.452088,0.158575786591177,critico,critico
Bocas del Toro,2012-08,2012,urbana,hombres,8.521520182547802,8.802218,-0.2806982546470227,critico,critico
Bocas del Toro,2013-08,2013,urbana,hombres,7.009865736963134,7.7473245,-0.7374587297421886,moderado,moderado
Bocas del Toro,2014-03,2014,urbana,hombres,6.621803499327053,6.609437,0.01236651049648696,moderado,moderado
Bocas del Toro,2014-08,2014,urbana,hombres,8.67817606747496,7.9155407,0.7626353722845298,critico,moderado
Bocas del Toro,2015-03,2015,urbana,hombres,9.62671905697446,9.375567,0.25115162075619857,critico,critico
Bocas del Toro,2015-08,2015,urbana,hombres,9.8972558200026,9.382926,0.5143298327589481,critico,critico
Bocas del Toro,2016-03,2016,urbana,hombres,8.116238878576459,8.568543,-0.45230455556660765,critico,critico
Bocas del Toro,2016-08,2016,urbana,hombres,5.908720456397719,6.114861,-0.20614055510740759,bajo,moderado
Bocas del Toro,2017-08,2017,urbana,hombres,8.634383807327696,8.130818,0.5035654403233014,critico,critico
Bocas del Toro,2018-08,2018,urbana,hombres,7.786626940927062,8.326463,-0.5398358047394423,moderado,critico
Bocas del Toro,2019-08,2019,urbana,hombres,7.070823488733937,7.6694703,-0.5986468214772449,moderado,moderado
Bocas del Toro,2021-10,2021,urbana,hombres,12.022676222055836,11.990721,0.03195547315446845,critico,critico
Bocas del Toro,2022-04,2022,urbana,hombres,8.241261550823625,8.246709,-0.0054473191104573715,critico,critico
Bocas del Toro,2023-08,2023,urbana,hombres,5.956161816004581,6.230602,-0.2744399715625576,bajo,moderado
Bocas del Toro,2024-10,2024,urbana,hombres,5.280898876404494,5.217954,0.06294471762153542,bajo,bajo
Bocas del Toro,2011-08,2011,urbana,mujeres,9.623663380086098,10.085104,-0.4614406085613627,critico,critico
Bocas del Toro,2012-08,2012,urbana,mujeres,9.556386958845538,9.034684,0.521702777632159,critico,critico
Bocas del Toro,2013-08,2013,urbana,mujeres,10.54877443683636,9.74905,0.7997242964555014,critico,critico
Bocas del Toro,2014-03,2014,urbana,mujeres,7.057354012699074,7.2105694,-0.15321536901479327,moderado,moderado
Bocas del Toro,2014-08,2014,urbana,mujeres,4.577725972236939,5.913101,-1.3353752240521235,bajo,bajo
Bocas del Toro,2015-03,2015,urbana,mujeres,8.039136574541054,7.338613,0.7005235412463762,critico,moderado
Bocas del Toro,2015-08,2015,urbana,mujeres,7.967161115775726,8.301648,-0.33448702417788745,moderado,critico
Bocas del Toro,2016-03,2016,urbana,mujeres,8.531545596473505,8.200316,0.33122916733532115,critico,critico
Bocas del Toro,2016-08,2016,urbana,mujeres,6.526397818040132,6.15416,0.37223779530453616,moderado,moderado
Bocas del Toro,2017-08,2017,urbana,mujeres,9.211650485436891,9.220133,-0.008482342321897818,critico,critico
Bocas del Toro,2018-08,2018,urbana,mujeres,10.150778610859357,9.800462,0.3503168417553528,critico,critico
Bocas del Toro,2019-08,2019,urbana,mujeres,9.401439076460822,8.754993,0.6464456377401184,critico,critico
Bocas del Toro,2021-10,2021,urbana,mujeres,12.334330910645576,11.93879,0.39554058929547864,critico,critico
Bocas del Toro,2022-04,2022,urbana,mujeres,6.3641394576646375,6.347515,0.016624351463465636,moderado,moderado
Bocas del Toro,2023-08,2023,urbana,mujeres,6.483715319662244,5.869282,0.6144335508634162,moderado,bajo
Bocas del Toro,2024-10,2024,urbana,mujeres,7.864132747128067,8.079902,-0.2157689481233982,moderado,critico
Bocas del Toro,2011-08,2011,urbana,total,10.890889883796971,11.209412,-0.3185217372967788,critico,critico
Bocas del Toro,2012-08,2012,urbana,total,8.960297316896302,8.867989,0.09230873047052057,critico,critico
Bocas del Toro,2013-08,2013,urbana,total,8.523643772816028,8.7564335,-0.23278971412244864,critico,critico
Bocas del Toro,2014-03,2014,urbana,total,6.79282298606286,6.927679,-0.1348560758267885,moderado,moderado
Bocas del Toro,2014-08,2014,urbana,total,7.10600089383659,7.09056,0.0154409344249693,moderado,moderado
Bocas del Toro,2015-03,2015,urbana,total,9.001747141041932,8.482982,0.5187654592182014,critico,critico
Bocas del Toro,2015-08,2015,urbana,total,9.104494769513735,9.161557,-0.05706242805706552,critico,critico
Bocas del Toro,2016-03,2016,urbana,total,8.28681351840676,8.455209,-0.16839525997458793,critico,critico
Bocas del Toro,2016-08,2016,urbana,total,6.162464985994398,6.250044,-0.08757888302415662,moderado,moderado
Bocas del Toro,2017-08,2017,urbana,total,8.89528556885597,8.474032,0.42125316681739555,critico,critico
Bocas del Toro,2018-08,2018,urbana,total,8.756336600202772,8.850517,-0.0941806727464467,critico,critico
Bocas del Toro,2019-08,2019,urbana,total,8.053333333333333,8.14072,-0.08738703409830784,critico,critico
Bocas del Toro,2021-10,2021,urbana,total,12.156299645606746,11.955264,0.20103555411504637,critico,critico
Bocas del Toro,2022-04,2022,urbana,total,7.451699255121043,7.6315403,-0.17984104334087103,moderado,moderado
Bocas del Toro,2023-08,2023,urbana,total,6.200575628021348,5.9130816,0.28749398205577226,moderado,bajo
Bocas del Toro,2024-10,2024,urbana,total,6.45556558751451,6.4774346,-0.021869047647843587,moderado,moderado
Chiriquí,2011-08,2011,rural,hombres,2.200369634201625,2.1627278,0.03764180140743534,bajo,bajo
Chiriquí,2012-08,2012,rural,hombres,3.7081807515909984,3.1081448,0.6000359914591624,bajo,bajo
Chiriquí,2013-08,2013,rural,hombres,3.0008055853920514,3.2841964,-0.28339079140848566,bajo,bajo
Chiriquí,2014-03,2014,rural,hombres,2.220832030028152,2.6496952,-0.42886312797660864,bajo,bajo
Chiriquí,2014-08,2014,rural,hombres,3.2749727829237387,3.0628607,0.21211205561355806,bajo,bajo
Chiriquí,2015-03,2015,rural,hombres,3.525039622538393,3.6811438,-0.15610413814275947,bajo,bajo
Chiriquí,2015-08,2015,rural,hombres,1.8364518364518363,2.96537,-1.1289181033522409,bajo,bajo
Chiriquí,2016-03,2016,rural,hombres,4.88035383510377,4.8518653,0.02848854350831065,bajo,bajo
Chiriquí,2016-08,2016,rural,hombres,2.434633168296575,3.1989827,-0.7643495473101143,bajo,bajo
Chiriquí,2017-08,2017,rural,hombres,4.062150503275284,4.1244726,-0.062322114827743746,bajo,bajo
Chiriquí,2018-08,2018,rural,hombres,3.666122314170902,3.9776402,-0.3115178378066372,bajo,bajo
Chiriquí,2019-08,2019,rural,hombres,3.537148300117233,4.1452546,-0.6081063118517611,bajo,bajo
Chiriquí,2021-10,2021,rural,hombres,3.4712923513897342,3.7111857,-0.23989334235111048,bajo,bajo
Chiriquí,2022-04,2022,rural,hombres,3.992772551407192,4.04688,-0.05410721696439014,bajo,bajo
Chiriquí,2023-08,2023,rural,hombres,4.204356467772684,4.4009976,-0.19664117092970823,bajo,bajo
Chiriquí,2024-10,2024,rural,hombres,6.135320319843076,5.8327823,0.30253805131890577,moderado,bajo
Chiriquí,2011-08,2011,rural,mujeres,1.1491935483870968,1.670348,-0.5211544998230473,bajo,bajo
Chiriquí,2012-08,2012,rural,mujeres,5.887858419127031,5.8716846,0.016173867888017668,bajo,bajo
Chiriquí,2013-08,2013,rural,mujeres,7.6388599958394,6.9235444,0.7153155889485312,moderado,moderado
Chiriquí,2014-03,2014,rural,mujeres,3.977818531132652,4.068331,-0.09051223363785565,bajo,bajo
Chiriquí,2014-08,2014,rural,mujeres,3.792107034002296,4.276459,-0.484352183069237,bajo,bajo
Chiriquí,2015-03,2015,rural,mujeres,6.161581728310892,6.095363,0.0662185882046904,moderado,moderado
Chiriquí,2015-08,2015,rural,mujeres,3.7251033446072905,3.962198,-0.23709467442041943,bajo,bajo
Chiriquí,2016-03,2016,rural,mujeres,7.880479395829913,7.252872,0.6276074056260557,moderado,moderado
Chiriquí,2016-08,2016,rural,mujeres,6.286123930283615,6.2090535,0.07707041389567593,moderado,moderado
Chiriquí,2017-08,2017,rural,mujeres,10.204550678005056,9.404725,0.7998256032369895,critico,critico
Chiriquí,2018-08,2018,rural,mujeres,7.447737001787125,7.7943435,-0.34660646973997444,moderado,moderado
Chiriquí,2019-08,2019,rural,mujeres,7.592729970326409,7.6537952,-0.06106527198316147,moderado,moderado
Chiriquí,2021-10,2021,rural,mujeres,8.459510037427696,8.5645275,-0.10501747416898333,critico,critico
Chiriquí,2022-04,2022,rural,mujeres,10.004125412541253,9.204111,0.8000143132980888,critico,critico
Chiriquí,2023-08,2023,rural,mujeres,7.233935742971888,6.9608235,0.2731122070526988,moderado,moderado
Chiriquí,2024-10,2024,rural,mujeres,13.87578789615198,13.1172905,0.7584973993258082,critico,critico
Chiriquí,2011-08,2011,rural,total,1.9302018291577063,2.3684535,-0.43825167349732297,bajo,bajo
Chiriquí,2012-08,2012,rural,total,4.350551654964894,4.5666785,-0.21612686905243983,bajo,bajo
Chiriquí,2013-08,2013,rural,total,4.333943242564489,4.26389,0.07005345298319021,bajo,bajo
Chiriquí,2014-03,2014,rural,total,2.7210123309466985,3.229952,-0.5089397659923884,bajo,bajo
Chiriquí,2014-08,2014,rural,total,3.4356779098088417,3.4364932,-0.0008152485316124114,bajo,bajo
Chiriquí,2015-03,2015,rural,total,4.314646316407397,4.406699,-0.09205286419563041,bajo,bajo
Chiriquí,2015-08,2015,rural,total,2.3646252069047056,3.0662413,-0.7016160574385562,bajo,bajo
Chiriquí,2016-03,2016,rural,total,5.826323281998188,5.160726,0.6655972115941351,bajo,bajo
Chiriquí,2016-08,2016,rural,total,3.642007387951739,3.8206892,-0.1786818134032413,bajo,bajo
Chiriquí,2017-08,2017,rural,total,6.16713486833469,5.205343,0.9617920987118875,moderado,bajo
Chiriquí,2018-08,2018,rural,total,4.824338085539715,5.264106,-0.43976771127424996,bajo,bajo
Chiriquí,2019-08,2019,rural,total,4.877869334902884,5.2479153,-0.3700459330414523,bajo,bajo
Chiriquí,2021-10,2021,rural,total,5.08227795939672,5.4931083,-0.41083031315577045,bajo,bajo
Chiriquí,2022-04,2022,rural,total,5.931583219127959,5.433517,0.49806623991042986,bajo,bajo
Chiriquí,2023-08,2023,rural,total,5.076127466558807,5.121484,-0.04535633623660296,bajo,bajo
Chiriquí,2024-10,2024,rural,total,9.092057077913877,9.115283,-0.02322593447625998,critico,critico
Chiriquí,2011-08,2011,total,hombres,3.4988723300756206,3.3775198,0.12135248411309618,bajo,bajo
Chiriquí,2012-08,2012,total,hombres,4.187909368359379,4.0562143,0.13169503577881247,bajo,bajo
Chiriquí,2013-08,2013,total,hombres,4.0736227255536415,4.00796,0.0656628828717567,bajo,bajo
Chiriquí,2014-03,2014,total,hombres,3.5822256751507373,3.8201382,-0.23791254086793945,bajo,bajo
Chiriquí,2014-08,2014,total,hombres,4.188949071649914,4.2077236,-0.018774545903797346,bajo,bajo
Chiriquí,2015-03,2015,total,hombres,3.0994604284935936,3.50436,-0.4048995320624367,bajo,bajo
Chiriquí,2015-08,2015,total,hombres,3.5683875102047984,3.7820003,-0.21361279306363423,bajo,bajo
Chiriquí,2016-03,2016,total,hombres,4.9,4.858651,0.0413488388061527,bajo,bajo
Chiriquí,2016-08,2016,total,hombres,3.616499075040753,4.0335946,-0.4170955332661319,bajo,bajo
Chiriquí,2017-03,2017,total,hombres,4.8,4.647378,0.15262203216552717,bajo,bajo
Chiriquí,2017-08,2017,total,hombres,3.252955168594411,3.819245,-0.5662899314269514,bajo,bajo
Chiriquí,2018-08,2018,total,hombres,3.5197020358064925,3.762724,-0.24302188692299964,bajo,bajo
Chiriquí,2019-08,2019,total,hombres,4.782797277458962,4.887668,-0.10487085532302043,bajo,bajo
Chiriquí,2021-10,2021,total,hombres,4.994451619945062,4.8917336,0.10271797355223988,bajo,bajo
Chiriquí,2022-04,2022,total,hombres,5.971400906041429,5.6146092,0.3567916645558329,bajo,bajo
Chiriquí,2023-08,2023,total,hombres,6.498368451673285,6.329024,0.1693446136300718,moderado,moderado
Chiriquí,2024-10,2024,total,hombres,6.921436998502839,7.2677665,-0.3463294771746508,moderado,moderado
Chiriquí,2011-08,2011,total,mujeres,2.932342310237744,2.8600838,0.07225849180207522,bajo,bajo
Chiriquí,2012-08,2012,total,mujeres,6.419749221208184,5.9347486,0.48500057161101573,moderado,bajo
Chiriquí,2013-08,2013,total,mujeres,6.298662862173114,6.3234544,-0.02479151786228595,moderado,moderado
Chiriquí,2014-03,2014,total,mujeres,4.038033706153049,4.5535874,-0.515553730522976,bajo,bajo
Chiriquí,2014-08,2014,total,mujeres,4.368633995056753,4.648853,-0.2802188301080415,bajo,bajo
Chiriquí,2015-03,2015,total,mujeres,4.7337019153622855,4.6807036,0.0529982753781546,bajo,bajo
Chiriquí,2015-08,2015,total,mujeres,4.627635676328876,4.389752,0.2378837651655461,bajo,bajo
Chiriquí,2016-03,2016,total,mujeres,5.2,5.520988,-0.32098798751831037,bajo,bajo
Chiriquí,2016-08,2016,total,mujeres,6.041707862434024,5.9838433,0.05786453586542084,moderado,bajo
Chiriquí,2017-03,2017,total,mujeres,7.5,7.111729,0.38827085494995117,moderado,moderado
Chiriquí,2017-08,2017,total,mujeres,6.630116751413231,6.949842,-0.31972522475254017,moderado,moderado
Chiriquí,2018-08,2018,total,mujeres,5.790962480076964,5.7922845,-0.0013220086010141685,bajo,bajo
Chiriquí,2019-08,2019,total,mujeres,9.046818665879726,8.904318,0.14250081004476556,critico,critico
Chiriquí,2021-10,2021,total,mujeres,9.446750826061171,9.480581,-0.03383045750816471,critico,critico
Chiriquí,2022-04,2022,total,mujeres,8.524984319464771,8.700224,-0.1752396032647212,critico,critico
Chiriquí,2023-08,2023,total,mujeres,5.99101720458988,6.08914,-0.09812273376461178,bajo,moderado
Chiriquí,2024-10,2024,total,mujeres,12.044447118759653,11.7580595,0.28638761711170346,critico,critico
Chiriquí,2011-08,2011,total,total,3.3047664453411167,3.0876656,0.21710088747978862,bajo,bajo
Chiriquí,2012-08,2012,total,total,4.987824994108868,4.5554376,0.4323874292590144,bajo,bajo
Chiriquí,2013-08,2013,total,total,4.866610411527976,4.694217,0.17239320648036838,bajo,bajo
Chiriquí,2014-03,2014,total,total,3.7447566886179393,3.9412088,-0.1964521507985646,bajo,bajo
Chiriquí,2014-08,2014,total,total,4.252352542523526,4.2900186,-0.037666015978671474,bajo,bajo
Chiriquí,2015-03,2015,total,total,3.713839151059804,3.9503803,-0.23654117425757892,bajo,bajo
Chiriquí,2015-08,2015,total,total,3.9514972207279895,4.052712,-0.10121474292557497,bajo,bajo
Chiriquí,2016-03,2016,total,total,5.0,4.7804174,0.21958255767822266,bajo,bajo
Chiriquí,2016-08,2016,total,total,4.52791576396074,4.4547048,0.07321100245561318,bajo,bajo
Chiriquí,2017-03,2017,total,total,5.800000000000001,4.7807198,1.0192802429199226,bajo,bajo
Chiriquí,2017-08,2017,total,total,4.569874606761487,4.6890073,-0.11913267549559325,bajo,bajo
Chiriquí,2018-08,2018,total,total,4.36206584370906,4.222551,0.13951497472102314,bajo,bajo
Chiriquí,2019-08,2019,total,total,6.462717424820677,6.431287,0.03143061299206362,moderado,moderado
Chiriquí,2021-10,2021,total,total,6.73876963930073,6.702027,0.03674279527607194,moderado,moderado
Chiriquí,2022-04,2022,total,total,6.988178734208829,6.9938684,-0.005689616773836725,moderado,moderado
Chiriquí,2023-08,2023,total,total,6.315188345832255,6.3315,-0.016311707573506418,moderado,moderado
Chiriquí,2024-10,2024,total,total,9.009421430177188,9.191264,-0.1818427223496677,critico,critico
Chiriquí,2011-08,2011,urbana,hombres,4.83566979591104,4.6059027,0.22976712409707556,bajo,bajo
Chiriquí,2012-08,2012,urbana,hombres,4.652403655828844,4.401751,0.25065261441649067,bajo,bajo
Chiriquí,2013-08,2013,urbana,hombres,5.149744953788657,4.5676637,0.5820812842024754,bajo,bajo
Chiriquí,2014-03,2014,urbana,hombres,4.869233802076488,4.636425,0.23280878376594139,bajo,bajo
Chiriquí,2014-08,2014,urbana,hombres,5.0358879370224585,4.8277373,0.20815060563207766,bajo,bajo
Chiriquí,2015-03,2015,urbana,hombres,2.702840359246872,3.330045,-0.627204625570633,bajo,bajo
Chiriquí,2015-08,2015,urbana,hombres,5.1757696799417765,4.993893,0.18187653342688392,bajo,bajo
Chiriquí,2016-03,2016,urbana,hombres,4.880153715886146,4.3855968,0.49455696371939784,bajo,bajo
Chiriquí,2016-08,2016,urbana,hombres,4.574242323761522,4.74158,-0.16733768569892682,bajo,bajo
Chiriquí,2017-08,2017,urbana,hombres,2.5784865332756266,3.0464668,-0.4679802941169515,bajo,bajo
Chiriquí,2018-08,2018,urbana,hombres,3.394305110314916,3.5638368,-0.16953170265810646,bajo,bajo
Chiriquí,2019-08,2019,urbana,hombres,5.824246508208772,5.349465,0.474781614867708,bajo,bajo
Chiriquí,2021-10,2021,urbana,hombres,6.23227593484139,6.7640686,-0.5317926686742354,moderado,moderado
Chiriquí,2022-04,2022,urbana,hombres,7.527296875723927,7.079799,0.44749770046147574,moderado,moderado
Chiriquí,2023-08,2023,urbana,hombres,8.13069141183092,7.362871,0.7678202417869748,critico,moderado
